ticket_id,customer_id,order_id,data_abertura,data_fechamento,canal_entrada,categoria_problema,status_atendimento,texto_cliente,nota_csat,tempo_primeira_resposta_minutos,custo_operacional_ticket
TKT-000042,CLI-06014,ORD-027743,2024-07-11 20:08:55,2025-12-31 23:59:00,ChatBot,Onde está meu pedido?,Em Análise,"O pedido sumiu no rastreamento, preciso de uma posição urgente.",4.0,3.0,2.0
TKT-000043,CLI-11830,ORD-008994,2023-02-22 15:53:05,2025-12-31 23:59:00,ChatBot,Dúvida Técnica,Aberto,Como aplico o cupom de desconto?,4.0,3.0,2.0
TKT-000044,CLI-14738,ORD-033587,2025-10-27 11:15:08,2025-10-30 12:15:08,WhatsApp,Onde está meu pedido?,Resolvido,Cadê meu produto? Já passou da data prevista.,3.0,9.0,15.0
TKT-000045,CLI-11830,ORD-025996,2023-11-10 16:06:37,2023-11-13 18:06:37,WhatsApp,Dúvida Técnica,Escalado para N2,Como aplico o cupom de desconto?,5.0,2.0,15.0
TKT-000046,CLI-14211,ORD-066318,2024-12-26 10:50:36,2024-12-28 17:50:36,ChatBot,Troca de Tamanho,Resolvido,"Quero fazer uma troca, o produto não serviu.",3.0,0.0,2.0
TKT-000047,CLI-11830,ORD-035401,2023-12-13 21:45:09,2025-12-31 23:59:00,E-mail,Troca de Tamanho,Em Análise,Como solicito a troca? O tamanho P está pequeno demais.,3.0,282.0,15.0
TKT-000048,CLI-11830,ORD-031964,2024-08-16 15:20:54,2024-08-17 03:20:54,E-mail,Troca de Tamanho,Resolvido,"Me mandaram o tamanho errado, preciso resolver isso.",4.0,185.0,15.0
TKT-000049,CLI-11830,ORD-036212,2024-09-20 22:13:22,2024-09-22 10:13:22,E-mail,Troca de Tamanho,Resolvido,Como solicito a troca? O tamanho P está pequeno demais.,5.0,468.0,15.0
TKT-000050,CLI-12360,ORD-053006,2023-08-16 14:44:30,2023-08-16 17:44:30,ChatBot,Defeito,Resolvido,A costura estava totalmente solta quando abri a embalagem.,3.0,3.0,2.0
TKT-000051,CLI-11830,ORD-025243,2025-12-08 17:22:44,2025-12-10 02:22:44,E-mail,Troca de Tamanho,Resolvido,"Quero fazer uma troca, o produto não serviu.",3.0,292.0,15.0
TKT-000052,CLI-11830,ORD-025444,2025-05-09 22:17:46,2025-05-12 18:17:46,WhatsApp,Onde está meu pedido?,Escalado para N2,Cadê meu produto? Já passou da data prevista.,2.0,11.0,15.0
TKT-000053,CLI-11830,ORD-013447,2025-11-17 08:35:18,2025-11-20 18:35:18,E-mail,Onde está meu pedido?,Escalado para N2,"Fiz o pedido há 10 dias e ainda não chegou, o que está acontecendo?",3.0,417.0,15.0
TKT-000054,CLI-11830,ORD-007027,2025-10-07 22:07:52,2025-10-08 08:07:52,WhatsApp,Onde está meu pedido?,Resolvido,Meu rastreio não atualiza desde terça. Alguém me ajuda?,3.0,3.0,15.0
TKT-000055,CLI-11830,ORD-038975,2024-11-13 20:38:38,2024-11-15 21:38:38,Telefone,Onde está meu pedido?,Resolvido,Comprei semana passada e nada até agora. Péssimo.,3.0,10.0,15.0
TKT-000056,CLI-11830,ORD-072351,2025-11-06 10:48:13,2025-11-06 21:48:13,ChatBot,Defeito,Resolvido,O produto chegou com defeito de fabricação.,3.0,1.0,2.0
TKT-000057,CLI-11830,ORD-077305,2023-04-22 16:45:18,2023-04-23 02:45:18,E-mail,Onde está meu pedido?,Resolvido,Meu rastreio não atualiza desde terça. Alguém me ajuda?,3.0,419.0,15.0
TKT-000058,CLI-14211,ORD-039858,2023-09-01 09:03:10,2023-09-04 10:03:10,Telefone,Dúvida Técnica,Resolvido,Qual o prazo de entrega para o meu CEP?,4.0,12.0,15.0
TKT-000059,CLI-12998,ORD-075393,2023-03-06 08:56:27,2023-03-07 17:56:27,E-mail,Onde está meu pedido?,Resolvido,Comprei semana passada e nada até agora. Péssimo.,3.0,436.0,15.0
TKT-000060,CLI-12360,ORD-023789,2023-12-24 08:48:48,2023-12-27 20:48:48,ChatBot,Onde está meu pedido?,Resolvido,Comprei semana passada e nada até agora. Péssimo.,4.0,1.0,2.0
TKT-000061,CLI-11830,ORD-052489,2024-03-14 17:42:06,2024-03-18 10:42:06,E-mail,Troca de Tamanho,Resolvido,Como solicito a troca? O tamanho P está pequeno demais.,1.0,142.0,15.0
TKT-000062,CLI-11830,ORD-055149,2023-11-18 07:42:55,2023-11-18 14:42:55,WhatsApp,Dúvida Técnica,Resolvido,Qual o prazo de entrega para o meu CEP?,5.0,10.0,15.0
TKT-000063,CLI-11830,ORD-032267,2025-07-09 21:56:44,2025-12-31 23:59:00,E-mail,Elogio,Em Análise,"Atendimento impecável, vocês são os melhores!",2.0,308.0,15.0
TKT-000064,CLI-02474,ORD-036241,2024-02-04 10:29:07,2024-02-07 02:29:07,WhatsApp,Dúvida Técnica,Resolvido,O app não carrega a página de checkout.,4.0,12.0,15.0
TKT-000065,CLI-09483,ORD-054388,2023-11-24 13:58:38,2023-11-25 07:58:38,E-mail,Onde está meu pedido?,Resolvido,Cadê meu produto? Já passou da data prevista.,3.0,320.0,15.0
TKT-000066,CLI-14211,ORD-070593,2024-09-15 16:53:37,2024-09-18 07:53:37,Reclame Aqui,Onde está meu pedido?,Escalado para N2,"O pedido sumiu no rastreamento, preciso de uma posição urgente.",3.0,1307.0,45.0
TKT-000067,CLI-11830,ORD-049969,2023-06-14 13:44:15,2023-06-16 18:44:15,E-mail,Troca de Tamanho,Resolvido,"Me mandaram o tamanho errado, preciso resolver isso.",3.0,352.0,15.0
TKT-000068,CLI-08001,ORD-002012,2025-06-02 08:08:32,2025-06-04 17:08:32,ChatBot,Onde está meu pedido?,Resolvido,Meu rastreio não atualiza desde terça. Alguém me ajuda?,4.0,2.0,2.0
TKT-000069,CLI-11830,ORD-048789,2023-04-03 17:39:44,2023-04-05 12:39:44,E-mail,Elogio,Resolvido,"Qualidade excelente, com certeza vou comprar novamente.",5.0,263.0,15.0
TKT-000070,CLI-01729,ORD-013174,2025-12-21 14:40:43,2025-12-25 14:40:43,E-mail,Defeito,Escalado para N2,O produto parou de funcionar em dois dias. Absurdo.,2.0,207.0,15.0
TKT-000071,CLI-10455,ORD-023601,2025-05-07 18:23:27,2025-12-31 23:59:00,WhatsApp,Onde está meu pedido?,Em Análise,Meu rastreio não atualiza desde terça. Alguém me ajuda?,3.0,4.0,15.0
TKT-000072,CLI-14211,ORD-037701,2023-09-04 11:14:29,2023-09-08 01:14:29,ChatBot,Defeito,Resolvido,Comprei e já veio com problema. Péssima qualidade.,3.0,2.0,2.0
TKT-000073,CLI-10455,ORD-056891,2023-01-09 20:44:16,2023-01-10 22:44:16,E-mail,Pagamento não aprovado,Resolvido,Tentei pagar três vezes e não consigo finalizar o pedido.,3.0,293.0,15.0
TKT-000074,CLI-11830,ORD-037513,2025-06-20 19:17:00,2025-06-24 19:17:00,ChatBot,Onde está meu pedido?,Escalado para N2,Meu rastreio não atualiza desde terça. Alguém me ajuda?,3.0,0.0,2.0
TKT-000075,CLI-09483,ORD-028592,2025-02-26 11:40:06,2025-02-28 20:40:06,ChatBot,Pagamento não aprovado,Resolvido,Meu pagamento não foi aprovado mas o valor foi debitado.,3.0,0.0,2.0
TKT-000076,CLI-11830,ORD-038685,2025-03-19 18:33:32,2025-03-21 03:33:32,E-mail,Onde está meu pedido?,Resolvido,Cadê meu produto? Já passou da data prevista.,3.0,199.0,15.0
TKT-000077,CLI-11830,ORD-030703,2025-05-06 14:55:43,2025-05-08 17:55:43,WhatsApp,Dúvida Técnica,Resolvido,Como aplico o cupom de desconto?,4.0,13.0,15.0
TKT-000078,CLI-03910,ORD-003281,2023-04-02 15:37:24,2023-04-03 05:37:24,E-mail,Defeito,Escalado para N2,Comprei e já veio com problema. Péssima qualidade.,3.0,386.0,15.0
TKT-000079,CLI-01729,ORD-018321,2024-02-07 09:40:52,2024-02-09 00:40:52,Telefone,Onde está meu pedido?,Escalado para N2,"Fiz o pedido há 10 dias e ainda não chegou, o que está acontecendo?",3.0,17.0,15.0
TKT-000080,CLI-11830,ORD-054936,2023-05-19 11:24:29,2023-05-23 11:24:29,E-mail,Onde está meu pedido?,Resolvido,Comprei semana passada e nada até agora. Péssimo.,3.0,249.0,15.0
TKT-000081,CLI-11830,ORD-058288,2025-08-28 22:39:26,2025-12-31 23:59:00,E-mail,Onde está meu pedido?,Aberto,Meu rastreio não atualiza desde terça. Alguém me ajuda?,3.0,203.0,15.0
TKT-000082,CLI-07163,ORD-059601,2024-11-26 18:03:25,2025-12-31 23:59:00,ChatBot,Defeito,Em Análise,O produto chegou com defeito de fabricação.,3.0,2.0,2.0
TKT-000083,CLI-01729,ORD-028306,2023-12-29 14:08:50,2025-12-31 23:59:00,WhatsApp,Dúvida Técnica,Em Análise,"Não consigo acessar minha conta, esqueci a senha.",3.0,11.0,15.0
TKT-000084,CLI-14211,ORD-046956,2023-03-23 11:08:34,2023-03-24 02:08:34,WhatsApp,Dúvida Técnica,Resolvido,"Não consigo acessar minha conta, esqueci a senha.",1.0,6.0,15.0
TKT-000085,CLI-01729,ORD-059246,2023-12-13 10:47:04,2023-12-15 09:47:04,WhatsApp,Troca de Tamanho,Resolvido,Como solicito a troca? O tamanho P está pequeno demais.,3.0,9.0,15.0
TKT-000086,CLI-14211,ORD-023845,2023-12-24 16:29:41,2025-12-31 23:59:00,Telefone,Pagamento não aprovado,Aberto,Meu pagamento não foi aprovado mas o valor foi debitado.,5.0,3.0,15.0
TKT-000087,CLI-14211,ORD-078302,2025-03-19 09:08:17,2025-03-22 08:08:17,WhatsApp,Defeito,Resolvido,Comprei e já veio com problema. Péssima qualidade.,2.0,11.0,15.0
TKT-000088,CLI-01729,ORD-012464,2024-12-06 13:27:28,2024-12-09 00:27:28,ChatBot,Onde está meu pedido?,Resolvido,Cadê meu produto? Já passou da data prevista.,4.0,1.0,2.0
TKT-000089,CLI-11830,ORD-069114,2025-09-27 09:05:53,2025-12-31 23:59:00,WhatsApp,Elogio,Aberto,"Melhor loja online que já comprei, recomendo muito.",5.0,3.0,15.0
TKT-000090,CLI-05057,ORD-075749,2024-06-08 20:55:58,2024-06-12 01:55:58,ChatBot,Troca de Tamanho,Escalado para N2,Como solicito a troca? O tamanho P está pequeno demais.,4.0,0.0,2.0
TKT-000091,CLI-06087,ORD-067202,2023-05-22 18:07:48,2023-05-25 01:07:48,WhatsApp,Dúvida Técnica,Resolvido,Como adiciono um endereço diferente para entrega?,4.0,6.0,15.0
TKT-000092,CLI-01729,ORD-021773,2025-03-05 07:11:17,2025-03-07 04:11:17,ChatBot,Pagamento não aprovado,Escalado para N2,PIX foi debitado mas o pedido está como pendente.,4.0,2.0,2.0
TKT-000093,CLI-14211,ORD-074396,2025-04-25 19:26:29,2025-12-31 23:59:00,WhatsApp,Defeito,Em Análise,Comprei e já veio com problema. Péssima qualidade.,1.0,7.0,15.0
TKT-000094,CLI-11830,ORD-041473,2024-10-09 15:28:42,2024-10-12 00:28:42,ChatBot,Pagamento não aprovado,Resolvido,Meu pagamento não foi aprovado mas o valor foi debitado.,1.0,3.0,2.0
TKT-000095,CLI-11830,ORD-027687,2025-05-06 16:02:14,2025-05-07 00:02:14,E-mail,Defeito,Escalado para N2,A costura estava totalmente solta quando abri a embalagem.,3.0,262.0,15.0
TKT-000096,CLI-01729,ORD-046422,2024-07-09 20:11:08,2024-07-11 02:11:08,WhatsApp,Defeito,Resolvido,O produto chegou com defeito de fabricação.,3.0,8.0,15.0
TKT-000097,CLI-11830,ORD-053089,2024-08-20 17:36:27,2024-08-24 03:36:27,E-mail,Onde está meu pedido?,Resolvido,"Fiz o pedido há 10 dias e ainda não chegou, o que está acontecendo?",3.0,353.0,15.0
TKT-000098,CLI-11830,ORD-010309,2024-04-27 18:05:27,2025-12-31 23:59:00,Telefone,Defeito,Em Análise,O produto parou de funcionar em dois dias. Absurdo.,3.0,6.0,15.0
TKT-000099,CLI-14211,ORD-019359,2023-02-09 09:32:40,2023-02-10 10:32:40,WhatsApp,Dúvida Técnica,Resolvido,"Não consigo acessar minha conta, esqueci a senha.",3.0,3.0,15.0
TKT-000100,CLI-06014,ORD-031946,2023-05-12 09:11:49,2023-05-15 10:11:49,WhatsApp,Dúvida Técnica,Resolvido,Como adiciono um endereço diferente para entrega?,5.0,12.0,15.0
TKT-000101,CLI-11830,ORD-066498,2023-02-18 21:04:30,2023-02-20 09:04:30,Telefone,Troca de Tamanho,Resolvido,"Preciso trocar o tamanho M pelo G, como faço?",3.0,17.0,15.0
TKT-000102,CLI-11830,ORD-005377,2024-12-05 09:39:38,2024-12-08 12:39:38,Reclame Aqui,Onde está meu pedido?,Resolvido,"O pedido sumiu no rastreamento, preciso de uma posição urgente.",3.0,1158.0,45.0
TKT-000103,CLI-11830,ORD-066133,2023-12-15 11:03:28,2023-12-17 07:03:28,WhatsApp,Defeito,Resolvido,A costura estava totalmente solta quando abri a embalagem.,3.0,3.0,15.0
TKT-000104,CLI-11830,ORD-043864,2024-07-31 18:23:58,2024-08-02 14:23:58,E-mail,Defeito,Resolvido,O produto chegou com defeito de fabricação.,3.0,204.0,15.0
TKT-000105,CLI-14211,ORD-030879,2025-10-24 11:21:05,2025-10-26 08:21:05,WhatsApp,Dúvida Técnica,Resolvido,Qual o prazo de entrega para o meu CEP?,4.0,11.0,15.0
TKT-000106,CLI-11830,ORD-071393,2023-11-04 17:52:08,2023-11-08 16:52:08,E-mail,Pagamento não aprovado,Resolvido,PIX foi debitado mas o pedido está como pendente.,1.0,403.0,15.0
TKT-000107,CLI-01729,ORD-013257,2024-04-03 22:12:14,2025-12-31 23:59:00,Telefone,Troca de Tamanho,Em Análise,Como solicito a troca? O tamanho P está pequeno demais.,3.0,7.0,15.0
TKT-000108,CLI-01729,ORD-021698,2025-04-18 17:56:49,2025-04-19 13:56:49,Telefone,Onde está meu pedido?,Resolvido,"O pedido sumiu no rastreamento, preciso de uma posição urgente.",3.0,7.0,15.0
TKT-000109,CLI-09365,ORD-048214,2023-10-13 21:14:34,2023-10-16 10:14:34,Telefone,Defeito,Resolvido,Comprei e já veio com problema. Péssima qualidade.,3.0,10.0,15.0
TKT-000110,CLI-00076,ORD-062992,2023-04-06 20:10:52,2023-04-07 14:10:52,WhatsApp,Troca de Tamanho,Resolvido,"Quero fazer uma troca, o produto não serviu.",1.0,5.0,15.0
TKT-000111,CLI-11830,ORD-029103,2023-11-27 12:17:28,2025-12-31 23:59:00,Reclame Aqui,Onde está meu pedido?,Em Análise,"O pedido sumiu no rastreamento, preciso de uma posição urgente.",3.0,1171.0,45.0
TKT-000112,CLI-14211,ORD-043948,2023-07-13 18:15:24,2023-07-13 22:15:24,E-mail,Troca de Tamanho,Resolvido,O vestido veio num tamanho diferente do que pedi.,2.0,101.0,15.0
TKT-000113,CLI-06351,ORD-019598,2025-11-11 22:28:39,2025-11-12 01:28:39,ChatBot,Onde está meu pedido?,Escalado para N2,Comprei semana passada e nada até agora. Péssimo.,3.0,0.0,2.0
TKT-000114,CLI-14211,ORD-047385,2025-06-10 14:19:07,2025-12-31 23:59:00,E-mail,Dúvida Técnica,Em Análise,Como aplico o cupom de desconto?,4.0,84.0,15.0
TKT-000115,CLI-11830,ORD-079820,2024-12-03 14:45:09,2024-12-06 21:45:09,E-mail,Pagamento não aprovado,Resolvido,Meu pagamento não foi aprovado mas o valor foi debitado.,3.0,209.0,15.0
TKT-000116,CLI-11830,ORD-002129,2025-09-08 07:24:55,2025-12-31 23:59:00,E-mail,Dúvida Técnica,Aberto,O app não carrega a página de checkout.,4.0,300.0,15.0
TKT-000117,CLI-00583,ORD-060900,2025-06-04 17:08:02,2025-06-08 04:08:02,ChatBot,Defeito,Resolvido,O produto parou de funcionar em dois dias. Absurdo.,4.0,2.0,2.0
TKT-000118,CLI-11830,ORD-052197,2023-08-19 16:12:02,2023-08-21 09:12:02,ChatBot,Defeito,Resolvido,Comprei e já veio com problema. Péssima qualidade.,1.0,1.0,2.0
TKT-000119,CLI-07957,ORD-059607,2025-10-04 08:55:41,2025-10-06 08:55:41,WhatsApp,Dúvida Técnica,Resolvido,Qual o prazo de entrega para o meu CEP?,3.0,7.0,15.0
TKT-000120,CLI-09365,ORD-038505,2024-09-11 15:51:05,2024-09-13 23:51:05,E-mail,Dúvida Técnica,Resolvido,O app não carrega a página de checkout.,3.0,432.0,15.0
TKT-000121,CLI-00583,ORD-055832,2025-06-09 12:44:28,2025-06-13 10:44:28,E-mail,Pagamento não aprovado,Resolvido,PIX foi debitado mas o pedido está como pendente.,5.0,239.0,15.0
TKT-000122,CLI-11830,ORD-015983,2025-10-09 18:32:51,2025-10-09 22:32:51,WhatsApp,Pagamento não aprovado,Resolvido,PIX foi debitado mas o pedido está como pendente.,1.0,13.0,15.0
TKT-000123,CLI-11830,ORD-010078,2023-12-18 08:38:09,2023-12-20 08:38:09,E-mail,Troca de Tamanho,Resolvido,Como solicito a troca? O tamanho P está pequeno demais.,3.0,407.0,15.0
TKT-000124,CLI-11830,ORD-058494,2023-05-14 07:47:11,2023-05-17 07:47:11,WhatsApp,Elogio,Resolvido,"Atendimento impecável, vocês são os melhores!",5.0,9.0,15.0
TKT-000125,CLI-11830,ORD-041890,2023-10-12 10:08:54,2023-10-16 06:08:54,Telefone,Defeito,Resolvido,"Recebi o item danificado, quero reembolso.",3.0,5.0,15.0
TKT-000126,CLI-14025,ORD-018203,2024-04-27 12:50:23,2025-12-31 23:59:00,WhatsApp,Onde está meu pedido?,Em Análise,Meu rastreio não atualiza desde terça. Alguém me ajuda?,3.0,10.0,15.0
TKT-000127,CLI-11830,ORD-062740,2025-06-24 11:39:56,2025-12-31 23:59:00,E-mail,Troca de Tamanho,Aberto,Como solicito a troca? O tamanho P está pequeno demais.,3.0,104.0,15.0
TKT-000128,CLI-06160,ORD-072261,2025-08-24 09:28:29,2025-08-25 02:28:29,WhatsApp,Troca de Tamanho,Resolvido,Como solicito a troca? O tamanho P está pequeno demais.,5.0,12.0,15.0
TKT-000129,CLI-11830,ORD-029553,2023-01-11 10:33:09,2025-12-31 23:59:00,Telefone,Onde está meu pedido?,Em Análise,Cadê meu produto? Já passou da data prevista.,3.0,12.0,15.0
TKT-000130,CLI-01729,ORD-012246,2024-08-03 13:40:35,2025-12-31 23:59:00,WhatsApp,Onde está meu pedido?,Em Análise,Comprei semana passada e nada até agora. Péssimo.,3.0,6.0,15.0
TKT-000131,CLI-11830,ORD-005959,2024-04-13 17:53:59,2025-12-31 23:59:00,WhatsApp,Defeito,Aberto,Comprei e já veio com problema. Péssima qualidade.,1.0,11.0,15.0
TKT-000132,CLI-14211,ORD-038986,2023-10-04 16:41:19,2025-12-31 23:59:00,ChatBot,Onde está meu pedido?,Em Análise,"O pedido sumiu no rastreamento, preciso de uma posição urgente.",1.0,3.0,2.0
TKT-000133,CLI-11830,ORD-048568,2023-05-22 11:20:55,2023-05-24 08:20:55,E-mail,Onde está meu pedido?,Resolvido,Comprei semana passada e nada até agora. Péssimo.,2.0,427.0,15.0
TKT-000134,CLI-01729,ORD-020933,2024-01-05 10:03:18,2024-01-07 16:03:18,WhatsApp,Onde está meu pedido?,Resolvido,Cadê meu produto? Já passou da data prevista.,3.0,8.0,15.0
