campanha_id,nome_campanha,canal,categoria_foco,data_inicio,data_fim,investimento_reais,impressoes,cliques,conversoes,atribuicao,status,roas,receita_gerada,cac
CAMP-0050,Branding_Awareness_2025,Email Marketing,Geral,2025-05-04,2025-06-17,43433.55,7675821,344006,8230,Linear,Pausada,3.21,139421.7,5.28
CAMP-0051,Retargeting_Carrinho_2023,Google Ads,Acessórios,2023-01-19,2023-03-28,41016.57,15953774,337085,35322,First Click,Finalizada,3.4,139456.34,1.16
CAMP-0052,Cyber_Monday_2023_03,Email Marketing,Moda,2023-03-26,2023-05-10,119271.39,14062633,671505,51501,Last Click,Pausada,4.1,489012.7,2.32
CAMP-0053,Performance_Beleza_2024,Marketplace,Acessórios,2024-10-14,2025-01-08,73233.78,23202554,1328919,43663,First Click,Pausada,1.32,96668.59,1.68
CAMP-0054,Performance_Beleza_2023,Google Ads,Geral,2023-03-01,2023-06-04,35092.86,5406840,242019,21135,Last Click,Finalizada,3.23,113349.94,1.66
CAMP-0055,Remarketing_30d_2025,TikTok Ads,Geral,2025-04-14,2025-12-31,27132.17,3464143,75562,1937,Linear,Ativa,3.5,94962.6,14.01
CAMP-0056,Liquidacao_Julho_2024,TikTok Ads,Geral,2024-08-04,2024-09-18,113132.61,27168920,914977,17246,Linear,Finalizada,6.27,709341.46,6.56
CAMP-0057,Fidelidade_Clientes_2023_04,Influenciador,Moda,2023-04-22,2023-07-11,119948.78,35400496,779326,11242,Last Click,Pausada,8.02,961989.22,10.67
CAMP-0058,TikTok_Viral_2025,Influenciador,Beleza,2025-07-21,2025-08-08,41885.73,7818335,334991,34956,Linear,Finalizada,7.68,321682.41,1.2
CAMP-0059,Push_Carrinho_2023_08,Marketplace,Geral,2023-08-03,2023-09-20,116428.13,24372601,847167,100552,First Click,Pausada,2.85,331820.17,1.16
CAMP-0060,Influenciador_Verao_2024_10,Google Ads,Geral,2024-10-25,2024-12-27,24586.28,6287948,353627,20578,Linear,Pausada,3.03,74496.43,1.19
CAMP-0061,Lookalike_Gold_2025,Email Marketing,Beleza,2025-03-10,2025-05-26,11366.46,4518421,250647,15229,Linear,Finalizada,1.62,18413.67,0.75
CAMP-0062,Influenciador_Inverno_2025_05,Influenciador,Geral,2025-05-14,2025-07-20,54923.02,6935977,124235,9433,Last Click,Pausada,13.03,715646.95,5.82
CAMP-0063,Fidelidade_Clientes_2024,TikTok Ads,Acessórios,2024-09-09,2024-10-22,100529.62,26698202,1129785,118829,Linear,Finalizada,3.74,375980.78,0.85
CAMP-0064,TikTok_Viral_2024_08,TikTok Ads,Geral,2024-08-11,2024-11-15,68701.36,10630847,513770,7604,Last Click,Pausada,7.44,511138.12,9.03
CAMP-0065,Stories_Boost_2024,Marketplace,Beleza,2024-01-05,2024-03-27,104390.1,37553390,1160246,78728,Linear,Finalizada,1.58,164936.36,1.33
CAMP-0066,TikTok_Viral_2024,Google Ads,Moda,2024-05-11,2024-07-07,102241.48,36065603,1900144,98429,Last Click,Pausada,3.89,397719.36,1.04
CAMP-0067,CAC_Reducao_2023_10,TikTok Ads,Geral,2023-10-03,2024-01-05,119691.63,38177469,1166952,24306,First Click,Finalizada,2.15,257337.0,4.92
CAMP-0068,Liquida_Beleza_2023_01,Orgânico,Lifestyle,2023-01-11,2023-02-24,45105.96,5709617,203380,14694,Linear,Finalizada,1.7,76680.13,3.07
CAMP-0069,Lancamento_Colecao_2025_11,TikTok Ads,Acessórios,2025-11-08,2025-12-31,28016.18,7960222,253912,21164,Linear,Pausada,7.36,206199.08,1.32
CAMP-0070,Influenciador_Verao_2023_08,Email Marketing,Beleza,2023-08-12,2023-09-26,82899.56,18750840,444588,53319,Linear,Finalizada,1.95,161654.14,1.55
CAMP-0071,Branding_Awareness_2024_12,Influenciador,Geral,2024-12-10,2025-12-31,99638.5,20591076,173399,18234,Linear,Ativa,13.7,1365047.45,5.46
CAMP-0072,Performance_Moda_2023_10,Marketplace,Lifestyle,2023-10-26,2024-01-22,74582.76,22142474,1007222,83105,Linear,Pausada,1.39,103670.04,0.9
CAMP-0073,Push_Carrinho_2024,Orgânico,Moda,2024-08-02,2024-11-10,10997.98,1918436,89915,2636,Last Click,Pausada,4.51,49600.89,4.17
CAMP-0074,Cyber_Monday_2024,Email Marketing,Geral,2024-03-09,2024-05-16,89637.81,16886766,236226,27382,Linear,Finalizada,4.44,397991.88,3.27
CAMP-0075,Lookalike_Gold_2025_06,Orgânico,Acessórios,2025-06-03,2025-06-11,64481.36,14542579,625142,52485,Last Click,Finalizada,3.55,228908.83,1.23
CAMP-0076,Semana_Consumidor_2024_01,Instagram Ads,Beleza,2024-01-20,2024-04-07,109847.66,16569146,187020,18818,First Click,Finalizada,5.25,576700.21,5.84
CAMP-0077,TikTok_Viral_2023_05,Google Ads,Moda,2023-05-16,2025-12-31,28329.04,7139340,201397,10233,Last Click,Ativa,3.95,111899.71,2.77
CAMP-0078,Cyber_Monday_2024,Email Marketing,Beleza,2024-11-04,2025-01-28,112698.56,19104304,838575,28427,First Click,Finalizada,4.42,498127.64,3.96
CAMP-0079,Black_Friday_Main_2025,Orgânico,Lifestyle,2025-11-12,2025-12-31,33250.6,12961955,743349,74826,Linear,Ativa,3.57,118704.64,0.44
CAMP-0080,Feed_Carousel_2024,Instagram Ads,Moda,2024-04-05,2024-05-08,99612.18,25634845,986734,98116,Linear,Pausada,2.74,272937.37,1.02
CAMP-0081,Dia_Das_Maes_2023,Instagram Ads,Lifestyle,2023-03-18,2023-04-16,79394.71,7006555,61466,5955,Last Click,Pausada,2.08,165141.0,13.33
CAMP-0082,Cyber_Monday_2025,Instagram Ads,Beleza,2025-07-17,2025-12-31,7814.25,1746079,46840,3527,First Click,Ativa,6.73,52589.9,2.22
CAMP-0083,LTV_Expansion_2024,Orgânico,Geral,2024-08-21,2024-09-04,101706.37,22010027,299644,26477,Linear,Finalizada,1.32,134252.41,3.84
CAMP-0084,Remarketing_30d_2023,Google Ads,Moda,2023-05-20,2023-08-05,45832.35,12428147,290006,19027,Linear,Finalizada,3.7,169579.7,2.41
CAMP-0085,Performance_Beleza_2025,Orgânico,Geral,2025-04-14,2025-05-20,40804.01,9185784,272188,5568,First Click,Finalizada,2.02,82424.1,7.33
CAMP-0086,Push_Carrinho_2023,Orgânico,Acessórios,2023-02-27,2025-12-31,51938.81,16530485,452565,11003,Linear,Ativa,3.25,168801.13,4.72
CAMP-0087,Performance_Beleza_2024,Instagram Ads,Acessórios,2024-11-25,2025-03-04,116214.16,31625502,831295,61159,First Click,Pausada,4.41,512504.45,1.9
CAMP-0088,Performance_Sempre_Ligada_2024_02,Influenciador,Geral,2024-02-25,2024-03-31,101449.59,39753520,2009866,155750,Linear,Finalizada,9.33,946524.67,0.65
CAMP-0089,Stories_Boost_2023,TikTok Ads,Lifestyle,2023-03-09,2023-04-24,42252.61,5832963,90113,7417,First Click,Finalizada,5.62,237459.67,5.7
CAMP-0090,Influenciador_Inverno_2023_07,Instagram Ads,Geral,2023-07-14,2023-08-10,37534.16,6898873,392912,29698,Linear,Finalizada,2.79,104720.31,1.26
CAMP-0091,Performance_Beleza_2024,Instagram Ads,Moda,2024-08-22,2024-11-14,49819.21,7422168,257118,12333,Last Click,Finalizada,5.39,268525.54,4.04
CAMP-0092,Influenciador_Verao_2023,Email Marketing,Lifestyle,2023-04-13,2023-04-27,24689.89,9443974,452386,42550,Linear,Pausada,1.03,25430.59,0.58
CAMP-0093,CAC_Reducao_2023_07,Marketplace,Beleza,2023-07-18,2023-09-27,8834.64,3143052,32058,386,Last Click,Finalizada,2.25,19877.94,22.89
CAMP-0094,Dia_Dos_Namorados_2025_11,Email Marketing,Acessórios,2025-11-14,2025-12-31,115950.72,15653279,896556,54340,First Click,Pausada,1.35,156533.47,2.13
CAMP-0095,Performance_Moda_2025,Google Ads,Acessórios,2025-07-17,2025-12-31,104488.83,33296153,649999,62206,Linear,Ativa,3.11,324960.26,1.68
CAMP-0096,Retargeting_Carrinho_2024_12,Google Ads,Lifestyle,2024-12-27,2025-01-21,12515.98,2026460,34494,924,Linear,Pausada,3.18,39800.82,13.55
CAMP-0097,Semana_Consumidor_2025,Marketplace,Acessórios,2025-10-15,2025-12-31,103736.78,29119906,461544,8082,Linear,Finalizada,4.19,434657.11,12.84
CAMP-0098,Parceria_Creator_2025,Instagram Ads,Lifestyle,2025-02-10,2025-02-21,44374.76,7626452,316670,37212,Last Click,Pausada,4.54,201461.41,1.19
CAMP-0099,LTV_Expansion_2025,Email Marketing,Geral,2025-01-15,2025-04-05,38718.91,8990580,142453,2394,Linear,Pausada,4.35,168427.26,16.17
CAMP-0100,Feed_Carousel_2025,Instagram Ads,Geral,2025-03-02,2025-05-04,62983.41,17329112,466546,51774,Linear,Finalizada,3.69,232408.78,1.22
CAMP-0101,Retargeting_Carrinho_2023,Instagram Ads,Lifestyle,2023-06-04,2023-07-30,30389.1,10712194,622906,47525,First Click,Finalizada,4.91,149210.48,0.64
CAMP-0102,Lookalike_Gold_2025_12,Influenciador,Lifestyle,2025-12-22,2025-12-31,37287.91,7477619,367647,36562,Linear,Pausada,14.23,530606.96,1.02
CAMP-0103,Influenciador_Inverno_2025,Email Marketing,Moda,2025-11-14,2025-11-23,37202.16,14299549,368500,34741,Last Click,Finalizada,1.62,60267.5,1.07
CAMP-0104,Liquida_Beleza_2025,TikTok Ads,Moda,2025-09-27,2025-12-10,79499.12,28655114,1150148,87062,Linear,Pausada,6.9,548543.93,0.91
CAMP-0105,Cyber_Monday_2025,TikTok Ads,Beleza,2025-08-02,2025-11-03,116356.71,32043536,1510030,145292,Last Click,Pausada,3.51,408412.05,0.8
CAMP-0106,Parceria_Creator_2024,TikTok Ads,Beleza,2024-11-19,2025-01-24,93419.26,22507515,670056,18645,Last Click,Finalizada,2.4,224206.22,5.01
CAMP-0107,Liquidacao_Julho_2024,Instagram Ads,Acessórios,2024-09-04,2024-11-16,34350.55,11136358,247061,27073,First Click,Pausada,2.46,84502.35,1.27
CAMP-0108,Upsell_Platinum_2024,TikTok Ads,Acessórios,2024-01-14,2025-12-31,60340.45,9379861,560121,28700,Linear,Ativa,2.14,129128.56,2.1
CAMP-0109,Retargeting_Carrinho_2023,Orgânico,Lifestyle,2023-03-02,2023-06-23,83589.42,10399665,464738,27580,First Click,Finalizada,1.08,90276.57,3.03
CAMP-0110,Retargeting_Carrinho_2025_12,TikTok Ads,Beleza,2025-12-20,2025-12-31,28669.3,3411402,69588,5586,Last Click,Finalizada,2.22,63645.85,5.13
CAMP-0111,Performance_Beleza_2023,Email Marketing,Geral,2023-11-17,2024-02-23,35094.38,2825118,74431,5416,Last Click,Pausada,1.34,47026.47,6.48
CAMP-0112,Performance_Sempre_Ligada_2025,Instagram Ads,Geral,2025-09-26,2025-12-12,46976.36,10825383,444434,52405,First Click,Pausada,3.79,178040.4,0.9
CAMP-0113,Performance_Moda_2025,Influenciador,Beleza,2025-11-21,2025-12-31,69912.02,22521266,336406,16400,Linear,Ativa,3.04,212532.54,4.26
CAMP-0114,LTV_Expansion_2025_03,Marketplace,Acessórios,2025-03-26,2025-12-31,85982.2,32841214,325888,10485,Last Click,Ativa,1.17,100599.17,8.2
CAMP-0115,Natal_Presentes_2025_08,Email Marketing,Acessórios,2025-08-09,2025-12-31,77698.68,13329634,704220,10745,Last Click,Ativa,1.5,116548.02,7.23
CAMP-0116,Liquidacao_Julho_2025,Marketplace,Acessórios,2025-08-13,2025-09-12,83109.81,16418427,812041,31945,Linear,Finalizada,1.32,109704.95,2.6
CAMP-0117,Lancamento_Colecao_2025,TikTok Ads,Beleza,2025-05-11,2025-12-31,39484.8,6894234,215014,19123,First Click,Ativa,3.79,149647.39,2.06
CAMP-0118,Performance_Sempre_Ligada_2025_07,Orgânico,Lifestyle,2025-07-09,2025-10-25,9189.93,2609976,70187,6886,Linear,Pausada,1.57,14428.19,1.33
CAMP-0119,Dia_Dos_Namorados_2023,Orgânico,Acessórios,2023-03-03,2023-05-31,43585.64,16729453,162008,4354,First Click,Finalizada,2.49,108528.24,10.01
CAMP-0120,Influenciador_Verao_2025_06,Email Marketing,Beleza,2025-06-13,2025-07-25,115270.3,10177476,179881,12043,Last Click,Pausada,2.05,236304.11,9.57
CAMP-0121,Retargeting_Carrinho_2023,Orgânico,Acessórios,2023-10-10,2023-12-18,14891.96,5255438,165578,18023,Last Click,Pausada,4.24,63141.91,0.83
CAMP-0122,Influenciador_Verao_2025_02,Orgânico,Lifestyle,2025-02-18,2025-04-04,85474.73,32202076,1325450,128975,First Click,Pausada,4.94,422245.17,0.66
CAMP-0123,Email_Reativacao_2023_06,Google Ads,Acessórios,2023-06-18,2023-08-23,73511.41,7909015,190473,22848,Last Click,Pausada,3.41,250673.91,3.22
CAMP-0124,Liquida_Beleza_2023_03,TikTok Ads,Geral,2023-03-11,2023-05-14,81677.06,15538630,833708,79893,First Click,Finalizada,6.49,530084.12,1.02
CAMP-0125,CAC_Reducao_2023_02,Marketplace,Geral,2023-02-17,2023-03-17,38854.76,11927878,310043,35189,First Click,Pausada,1.32,51288.28,1.1
CAMP-0126,Stories_Boost_2024_03,Orgânico,Geral,2024-03-21,2024-06-04,60408.26,8092501,460977,12428,Last Click,Pausada,4.61,278482.08,4.86
CAMP-0127,Performance_Moda_2023,TikTok Ads,Geral,2023-01-03,2025-12-31,77046.16,20383855,853242,80516,Linear,Ativa,1.7,130978.47,0.96
CAMP-0128,Black_Friday_Main_2025,Email Marketing,Lifestyle,2025-05-16,2025-09-03,35832.58,3703346,41164,2402,First Click,Finalizada,2.36,84564.89,14.92
CAMP-0129,Cyber_Monday_2025,Influenciador,Lifestyle,2025-06-13,2025-12-31,44590.72,11581475,284835,17463,First Click,Ativa,2.54,113260.43,2.55
CAMP-0130,Lancamento_Colecao_2025_07,Influenciador,Acessórios,2025-07-08,2025-08-04,112063.43,34824954,622369,17132,Last Click,Finalizada,7.73,866250.31,6.54
CAMP-0131,Performance_Beleza_2023_07,Marketplace,Moda,2023-07-17,2023-08-23,70084.62,6698029,151579,11478,Linear,Pausada,2.88,201843.71,6.11
CAMP-0132,Retargeting_Carrinho_2024_03,Instagram Ads,Moda,2024-03-09,2024-06-21,44039.29,9168368,345231,10844,Last Click,Finalizada,3.93,173074.41,4.06
CAMP-0133,Black_Friday_Main_2024_10,TikTok Ads,Geral,2024-10-22,2024-11-14,47389.66,15845543,406159,46011,Last Click,Pausada,5.42,256851.96,1.03
CAMP-0134,Dia_Das_Maes_2023_01,Email Marketing,Moda,2023-01-05,2023-04-24,62416.06,7968097,433805,11008,Linear,Finalizada,1.65,102986.5,5.67
CAMP-0135,Liquidacao_Julho_2025_06,Orgânico,Lifestyle,2025-06-17,2025-08-31,85107.03,14973133,754929,38138,Linear,Finalizada,3.33,283406.41,2.23
CAMP-0136,Lookalike_Gold_2025_08,TikTok Ads,Moda,2025-08-09,2025-11-24,86623.73,23104926,389702,30861,Linear,Pausada,3.97,343896.21,2.81
CAMP-0137,Fidelidade_Clientes_2025_12,Google Ads,Moda,2025-12-04,2025-12-31,50369.88,10685830,198781,12960,Linear,Finalizada,3.87,194931.44,3.89
CAMP-0138,Dia_Dos_Namorados_2025,Orgânico,Moda,2025-03-17,2025-05-04,63152.16,11392702,193738,21375,Linear,Finalizada,3.7,233662.99,2.95
CAMP-0139,TikTok_Viral_2025,Orgânico,Lifestyle,2025-08-07,2025-09-18,27139.07,10620370,249323,10419,Last Click,Finalizada,2.96,80331.65,2.6
CAMP-0140,Remarketing_30d_2025_05,Influenciador,Geral,2025-05-10,2025-12-31,81259.35,16373932,965543,96575,First Click,Ativa,2.62,212899.5,0.84
CAMP-0141,Parceria_Creator_2024,Influenciador,Moda,2024-08-21,2024-10-28,24407.75,6159172,348099,30138,First Click,Pausada,11.24,274343.11,0.81
CAMP-0142,Push_Carrinho_2025,Google Ads,Moda,2025-09-08,2025-09-21,49713.5,15389041,203571,19295,First Click,Pausada,3.98,197859.73,2.58
CAMP-0143,Stories_Boost_2024,Marketplace,Acessórios,2024-11-07,2024-12-20,34392.76,3402545,163232,13344,First Click,Finalizada,3.89,133787.84,2.58
CAMP-0144,UGC_Organico_2023,Google Ads,Acessórios,2023-01-27,2023-04-07,112405.73,43600164,2448326,260604,Last Click,Pausada,3.6,404660.63,0.43
CAMP-0145,TikTok_Viral_2025_09,Influenciador,Acessórios,2025-09-17,2025-10-11,32885.88,11142408,280739,25385,Linear,Finalizada,3.2,105234.82,1.3
CAMP-0146,Influenciador_Inverno_2025,Influenciador,Lifestyle,2025-11-25,2025-12-31,99273.38,24311039,304139,25431,First Click,Finalizada,7.42,736608.48,3.9
CAMP-0147,Performance_Beleza_2024,Instagram Ads,Lifestyle,2024-04-15,2024-06-03,69978.8,18426870,398034,19722,Last Click,Finalizada,2.59,181245.09,3.55
CAMP-0148,Fidelidade_Clientes_2025_09,Google Ads,Acessórios,2025-09-23,2025-12-27,76717.62,29229674,792483,27176,Linear,Pausada,3.15,241660.5,2.82
CAMP-0149,Email_Reativacao_2024_12,Email Marketing,Lifestyle,2024-12-18,2025-03-31,91470.78,27231712,1061556,102557,First Click,Pausada,3.82,349418.38,0.89
CAMP-0150,Fidelidade_Clientes_2023_09,Email Marketing,Moda,2023-09-17,2023-12-01,19911.55,7037449,217989,18492,Linear,Pausada,1.36,27079.71,1.08
CAMP-0151,Performance_Sempre_Ligada_2024,Marketplace,Moda,2024-03-17,2024-06-04,67143.9,19826631,476331,5904,Linear,Pausada,3.98,267232.72,11.37
CAMP-0152,Liquidacao_Julho_2024,Instagram Ads,Moda,2024-06-23,2025-12-31,119296.01,45221120,524067,59070,First Click,Ativa,2.9,345958.43,2.02
CAMP-0153,Influenciador_Verao_2024_07,TikTok Ads,Acessórios,2024-07-15,2024-09-08,9813.95,3812976,203905,5021,Linear,Finalizada,2.66,26105.11,1.95
CAMP-0154,Cyber_Monday_2023,Marketplace,Geral,2023-12-08,2024-03-20,117423.18,26791419,1216139,68899,Last Click,Pausada,1.99,233672.13,1.7
CAMP-0155,Black_Friday_Main_2023,Google Ads,Lifestyle,2023-12-25,2025-12-31,97175.49,20810810,995480,106728,Linear,Ativa,3.07,298328.75,0.91
CAMP-0156,Email_Reativacao_2025,Instagram Ads,Acessórios,2025-11-23,2025-12-31,48391.39,7500112,144737,15198,First Click,Pausada,6.97,337287.99,3.18
CAMP-0157,Natal_Presentes_2024,TikTok Ads,Geral,2024-10-20,2025-02-08,28581.1,10300704,610380,41101,Linear,Finalizada,1.9,54304.09,0.7
CAMP-0158,Influenciador_Inverno_2025,Orgânico,Beleza,2025-11-14,2025-11-27,113002.05,33316350,1627898,73354,First Click,Finalizada,2.2,248604.51,1.54
CAMP-0159,Influenciador_Inverno_2024_04,TikTok Ads,Geral,2024-04-28,2024-08-22,96731.98,36053670,1342785,156376,Last Click,Pausada,4.02,388862.56,0.62
CAMP-0160,Remarketing_30d_2025,Google Ads,Lifestyle,2025-02-15,2025-03-05,6374.09,1279240,50476,724,Linear,Pausada,3.76,23966.58,8.8
CAMP-0161,Feed_Carousel_2023,Orgânico,Geral,2023-08-07,2023-09-25,114850.97,9751626,553232,64080,First Click,Finalizada,2.92,335364.83,1.79
CAMP-0162,Email_Reativacao_2025,Orgânico,Geral,2025-04-13,2025-06-29,93106.56,18789998,671738,33263,Last Click,Finalizada,4.53,421772.72,2.8
